"Object Count","Object Name","Object ID","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","","56097b55-9696-4481-ad87-f244f4b50efd","curve","circle"
"57","","b04db42e-183e-4cb8-9d09-c653a0f62c64","point","15.88447416232775,-3.779047332841401e-06,-9.504227214180233"
"58","","51d95448-80f5-4209-b837-75207a0d685b","point","-18.80097265288482,-3.779047332841401e-06,-24.85969575176"
"59","","d19bf53c-e182-4888-9265-7c785c802541","point","-16.02193178534322,-5.668570999262101e-06,-19.15834277413293"
"60","","016e6b63-594e-4006-9413-dea9bbb33321","point","11.80608596914526,-3.779047332841401e-06,13.37727959345465"
"61","","8b5ee582-9fd5-458c-9ef9-5f4d7301a247","point","17.92467600487491,0,5.066590167251928"
"62","","6a42459c-c2d8-47cd-a802-615f6d7eb070","point","22.81167955303527,-1.8895236664207e-06,-3.932329282042257"
"63","","909ec6e0-c1fd-4aa4-86d1-b63f240d59ea","point","5.605304173256105,-3.779047332841401e-06,19.20769963437781"
"64","","90b96ee0-fd55-4f30-a17e-83831af5e14a","point","0.410172221633605,0,22.78295050418071"
"65","","b07722cc-7835-40cd-b6eb-54b2d7d536e1","point","-4.252103978371178,1.889523669973414e-06,24.44624024304879"
"66","","aa155642-a504-4428-86f0-aaedec0b133b","point","-11.95519313541037,1.889523669973414e-06,20.56805590018617"
"67","","d8acf912-a60b-48f6-b36d-490e65029309","point","-19.08160974667124,1.889523669973414e-06,10.50138930082563"
"68","","6a3c7ec3-deff-481c-a9e0-4d8ca4c282b8","point","-25.9808804194824,0,3.761760703611163"
"69","","b6550a6e-0697-4e62-8c8a-51299a904902","point","-22.52092576448889,-1.8895236664207e-06,-9.463534432482803"
"70","","8b5c4ca2-a5b1-4485-8d8e-e6054f04354a","point","-21.80881216224368,-5.668570999262101e-06,-16.28267418561421"
"71","","9c92b820-a3e8-4c13-affb-2b8d5bb7adfe","point","-8.226412169233026,3.779047336394115e-06,23.70330976947353"
"72","","dd1b9e81-cd7a-47b0-ad56-1162d10e2033","point","-15.67720204876441,1.889523669973414e-06,16.07774147008846"
"73","","cfc419c5-f6e1-41f3-9167-c4f7d16e76de","point","-24.67161687363592,0,-2.505869920259599"
"74","","f3ceb213-ba39-4029-ad5e-f7bced586377","point","-10.29362160339702,-1.8895236664207e-06,-13.31740690416044"
"75","","82bbb2ac-224e-4d93-87d7-0bb61a41503b","point","9.895278707329897,0,-1.624389493943649"
"76","","d921c47e-2486-4d70-af7d-4fff437ab2db","point","3.670311008500267,-1.8895236664207e-06,-9.357156769382783"
"77","","7b49b6cf-5bca-4221-a827-f49d58338549","point","-15.96344221006536,1.889523669973414e-06,-6.594360766649551"
"78","","6d46b939-e481-4200-a184-b486df940ce1","point","-20.64405938646673,0,4.610932794582411"
"79","","4d36469e-1a35-46d3-868c-79378dcab169","point","4.291001897630327,-1.8895236664207e-06,6.865341117506009"
"80","","d76f7d7f-fb26-4c44-a21b-7f043ca3f7eb","point","0.9737440699858446,-3.779047332841401e-06,14.14997888256585"
"81","","1e3cd85f-3762-4c7e-aa12-b615c470d782","point","-1.980644593874512,-1.8895236664207e-06,18.15935411332654"
"82","","f5d38ecb-fd86-4bcb-af1e-ed9b0ad99149","point","-5.555321048482551,0,20.5250906513583"
"83","","7f58c1b6-cb60-4843-9116-99c47582f518","point","-7.984875618533703,1.889523669973414e-06,16.81071289425499"
"84","","6dbac753-0d8b-487f-8bb6-777370d3b5ad","point","-13.5574688953812,1.889523669973414e-06,7.562519924685461"
"85","","fd38ee55-6998-4eb1-bc0f-5f385a31c71e","point","-19.30460377178276,1.889523669973414e-06,-0.7197460268323752"
"86","","fe2f4198-e14d-4ec0-aa29-e8b411bb43d1","point","-10.78532101017766,3.779047336394115e-06,12.42861274426185"
"87","","5b5917c8-a678-468c-9bc0-ce4c7a24bfe1","point","-3.713887018268235,0,13.71769617734239"
"88","","ffe2e781-3a79-4309-8269-bf6a84df745b","point","-4.391092300602633,6.298412245087093e-07,-5.266252371428543"
"89","","a1d80a5a-1893-46a5-b69b-58d83df67491","point","-15.85928158806821,1.889523669973414e-06,2.636692963575772"
"90","","83b41a77-56ff-4de4-a1fe-d79edf045a39","point","-11.18321942338737,1.889523669973414e-06,-1.126860276808365"
"91","","15113bff-79ab-4a7d-addb-19084e28943d","point","-8.699931838970041,-1.8895236664207e-06,4.640938430417982"
"92","","ab5d0c87-e111-474f-b9f7-57c3841d0ca5","point","-2.977345654053135,6.298412245087093e-07,3.635197889015359"
"93","","2694afd9-2385-4231-987a-a8100fc2e3bd","point","-6.056090168865932,1.889523669973414e-06,9.234078219121333"
