"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"1","green","43,184,87","0","","","","59d19a99-8d60-4d30-955b-7f9022872305","0,0,0","","point","100.0000000000001,99.99999999999994,0"
"2","red","255,31,0","1","","","","cf911d17-c8a0-458f-a792-30f64a7b82f0","0,0,0","","point","99.99999999999994,-100.0000000000001,0"
"3","red","255,31,0","1","","","","a0cd8011-1204-4ec2-97d5-2b3ee522073d","0,0,0","","point","-100.0000000000001,-99.99999999999994,0"
"4","green","43,184,87","0","","","","c0b8f1f0-34d6-4ace-bb94-47cbc444e3ad","0,0,0","","point","-99.99999999999994,100.0000000000001,0"
"5","green","43,184,87","0","","","","2ffe0c3c-afb0-49a0-8b75-5bad51983d0c","0,0,0","","curve","closed polyline"
"6","green","43,184,87","0","","","","e478b417-b08f-417d-8a86-47eadec79e25","0,0,0","","curve","line"
"7","green","43,184,87","0","","","","4ff78c7c-da96-4e91-b034-898095a49524","0,0,0","","curve","line"
"8","green","43,184,87","0","","","","38fec5e4-6c90-448f-8f31-f720cf94183a","0,0,0","","curve","line"
"9","green","43,184,87","0","","","","58591052-1f23-4a2a-a02d-fada9c72a479","0,0,0","","curve","line"
"10","green","43,184,87","0","","","","5a34323b-6d24-4c0b-ad3c-16230f17a706","0,0,0","","curve","line"
"11","green","43,184,87","0","","","","675f10c0-da04-4803-894f-b4cee3ac0480","0,0,0","","curve","line"
"12","green","43,184,87","0","","","","1d69db90-e4a3-4c45-bd23-7a470ac04365","0,0,0","","curve","line"
"13","green","43,184,87","0","","","","8bc14748-85fa-45dc-9419-a8053a2e657b","0,0,0","","curve","line"
"14","green","43,184,87","0","","","","0b698f2f-3fa5-4b01-823e-ccd2fe043be3","0,0,0","","curve","line"
"15","green","43,184,87","0","","","","39a0eb4a-7d0e-4017-94b1-78ba684b0fcc","0,0,0","","curve","line"
