"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"1","greenn","255,31,0","1","","","","49723686-c6d2-49ed-8156-da4da2c0ddc5","0,0,0","","point","35.26754073162698,5,0"
"2","greenn","255,31,0","1","","","","9ebede95-6b0a-437b-ba09-2e1fbfd97731","0,0,0","","point","35.26754073162698,0,0"
"3","greenn","255,31,0","1","","","","2ebe3fe6-d7a4-40d6-82ba-e25b4b25a835","0,0,0","","point","0,5,0"
"4","greenn","255,31,0","1","","","","cf911d17-c8a0-458f-a792-30f64a7b82f0","0,0,0","","point","0,0,0"
