"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"1","green","43,184,87","0","","","","83510b43-4341-47c4-b42f-63935a3de5f6","0,0,0","","point","0,-30,0"
"2","green","43,184,87","0","","","","bff7d6d9-a7c5-4abe-ad12-916005c090ef","0,0,0","","point","0,30,0"
"3","green","43,184,87","0","","","","cfd33b13-7469-4232-8544-3d62ffa61dca","0,0,0","","point","0,0,0"
