"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"1","greenn","14,255,0","1","","","","a8f2fd01-0d42-4253-9df4-2c549cda2949","0,0,0","","point","169.9999164518928,-0.1685418330070174,0"
"2","greenn","14,255,0","1","","","","cc01f3e6-a27e-4a4a-92de-9bde76431e0c","0,0,0","","point","164.9999189091901,-0.1635847202715169,0"
"3","greenn","14,255,0","1","","","","0d6ff527-aea7-4c94-83d1-2a6205672ac4","0,0,0","","point","159.9999213664873,-0.1586276075360163,0"
"4","greenn","14,255,0","1","","","","33efcc6e-ae38-4948-8729-b9fb6c399e67","0,0,0","","point","154.9999238237846,-0.1536704948005158,0"
"5","greenn","14,255,0","1","","","","3066990d-daf7-4899-ac8f-294b7c183fe5","0,0,0","","point","149.9999262810818,-0.1487133820650153,0"
"6","greenn","14,255,0","1","","","","96eef33b-8700-4179-b8f9-5a4577e7c83c","0,0,0","","point","144.9999287383791,-0.1437562693295148,0"
"7","greenn","14,255,0","1","","","","67f72060-5920-42ad-bce6-cf455b2abf06","0,0,0","","point","139.9999311956764,-0.1387991565940143,0"
"8","greenn","14,255,0","1","","","","5c65ab71-9240-42f6-b250-c7133dd770ef","0,0,0","","point","134.9999336529737,-0.1338420438585138,0"
"9","greenn","14,255,0","1","","","","86a14bc5-7dc9-4703-98c5-3ed3bd54a252","0,0,0","","point","129.9999361102709,-0.1288849311230133,0"
"10","greenn","14,255,0","1","","","","18c15b9f-58a0-4325-8240-1e255c47b499","0,0,0","","point","124.9999385675682,-0.1239278183875128,0"
"11","greenn","14,255,0","1","","","","505b3c59-979f-426d-af3c-002415839407","0,0,0","","point","119.9999410248655,-0.1189707056520123,0"
"12","greenn","14,255,0","1","","","","8af102fa-6941-401f-acf1-23af987320eb","0,0,0","","point","114.9999434821627,-0.1140135929165117,0"
"13","greenn","14,255,0","1","","","","7bee0140-6751-4271-8e7c-fdd6131344f5","0,0,0","","point","109.99994593946,-0.1090564801810112,0"
"14","greenn","14,255,0","1","","","","919fd9a5-44aa-4f7a-be34-226efac96a46","0,0,0","","point","104.9999483967573,-0.1040993674455107,0"
"15","greenn","14,255,0","1","","","","bb069d75-3921-4f24-82a2-7f9ad7824fb8","0,0,0","","point","99.99995085405456,-0.09914225471001022,0"
"16","greenn","14,255,0","1","","","","711af912-92d8-4d02-bbd8-00b35f450038","0,0,0","","point","94.99995331135183,-0.09418514197450971,0"
"17","greenn","14,255,0","1","","","","63a95e57-f7dc-4212-9502-d9b42c56596e","0,0,0","","point","89.99995576864912,-0.0892280292390092,0"
"18","greenn","14,255,0","1","","","","bbf8a92c-6be0-47c4-8e18-0250e3de7280","0,0,0","","point","84.99995822594639,-0.08427091650350868,0"
"19","greenn","14,255,0","1","","","","9c98d74d-437c-40a6-bf16-8e58876c3be0","0,0,0","","point","79.99996068324366,-0.07931380376800817,0"
"20","greenn","14,255,0","1","","","","dc9bccf5-c8f8-4d87-a72f-ec63d21ef828","0,0,0","","point","74.99996314054091,-0.07435669103250765,0"
"21","greenn","14,255,0","1","","","","3f307f54-0ce0-4a71-960f-c5f3ae873046","0,0,0","","point","69.99996559783818,-0.06939957829700714,0"
"22","greenn","14,255,0","1","","","","810e2478-7385-484a-9bd5-a25243969ec9","0,0,0","","point","64.99996805513547,-0.06444246556150665,0"
"23","greenn","14,255,0","1","","","","dc905c4b-186a-4363-b76a-54baa340a879","0,0,0","","point","59.99997051243274,-0.05948535282600613,0"
"24","greenn","14,255,0","1","","","","d09467c5-d3b2-4a24-bcdc-4264cfe9212f","0,0,0","","point","54.99997296973001,-0.05452824009050562,0"
"25","greenn","14,255,0","1","","","","d376cd9c-796f-42fd-841c-00b24fb0d43f","0,0,0","","point","49.99997542702728,-0.04957112735500511,0"
"26","greenn","14,255,0","1","","","","ad5293d9-5d6b-48e5-a450-c2da2fa98b55","0,0,0","","point","44.99997788432456,-0.0446140146195046,0"
"27","greenn","14,255,0","1","","","","dbecc5a4-b19e-4dd8-911c-028add7374f2","0,0,0","","point","39.99998034162183,-0.03965690188400409,0"
"28","greenn","14,255,0","1","","","","4fa2df2a-bba1-46dc-b191-120cf5f2e253","0,0,0","","point","34.99998279891909,-0.03469978914850357,0"
"29","greenn","14,255,0","1","","","","84366080-c7e8-4cc3-a59d-653d0ee2d014","0,0,0","","point","29.99998525621637,-0.02974267641300306,0"
"30","greenn","14,255,0","1","","","","b022f024-4600-4871-bed8-3249640dbc0c","0,0,0","","point","24.99998771351364,-0.02478556367750255,0"
"31","greenn","14,255,0","1","","","","e86d9fb7-1e94-4cb4-a7a5-0014842af041","0,0,0","","point","19.99999017081091,-0.01982845094200204,0"
"32","greenn","14,255,0","1","","","","c8689493-9334-421b-a94d-6f5660ea6a1b","0,0,0","","point","14.99999262810819,-0.01487133820650153,0"
"33","greenn","14,255,0","1","","","","c059f6a3-5046-4ad1-bbd9-c5876b3cb129","0,0,0","","point","9.999995085405457,-0.009914225471001022,0"
"34","greenn","14,255,0","1","","","","c098c19a-335f-451d-a29f-6fd70550fdda","0,0,0","","point","4.999997542702729,-0.004957112735500511,0"
"35","greenn","14,255,0","1","","","","cf911d17-c8a0-458f-a792-30f64a7b82f0","0,0,0","","point","0,0,0"
