"Object Count","Layer Name","Layer Color R,G,B","Layer Index","Group Names","Group Indexes","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type"
"50","red","255,31,0","1","","","","acc0b31b-d526-48d6-9564-c9dbb9521dc1","0,0,0","","point","0,120,0"
"51","red","255,31,0","1","","","","a5e40deb-9ad3-4c7b-9d2d-4c8957a06b93","0,0,0","","point","0,115,0"
"52","red","255,31,0","1","","","","68a9acd6-f70b-4698-b2ec-1dc541588cb0","0,0,0","","point","0,110,0"
"53","red","255,31,0","1","","","","779f47c1-ebfe-4dc0-a089-afbb64988153","0,0,0","","point","0,105,0"
"54","red","255,31,0","1","","","","da56b596-97b8-4ae6-817a-f5205970b910","0,0,0","","point","0,100,0"
"55","red","255,31,0","1","","","","05e344d6-e34a-4a5a-b9e0-f4a719c3b29c","0,0,0","","point","0,95.00000000000003,0"
"56","red","255,31,0","1","","","","54503093-3b68-4577-9d9d-093d209cb633","0,0,0","","point","0,90.00000000000001,0"
"57","red","255,31,0","1","","","","4b9c15a2-6986-4d6d-a736-ce4393926c74","0,0,0","","point","0,85.00000000000003,0"
"58","red","255,31,0","1","","","","ca0e4228-adcf-4ea2-ad19-1507385151bc","0,0,0","","point","0,80.00000000000003,0"
"59","red","255,31,0","1","","","","afc514ce-04a4-4517-a938-9d81b7d117e8","0,0,0","","point","0,75.00000000000003,0"
"60","red","255,31,0","1","","","","7c4bccec-2da4-4056-a29d-b12d4d2dd6e7","0,0,0","","point","0,70.00000000000001,0"
"61","red","255,31,0","1","","","","d4a96529-a61b-45e6-b555-627b54cf010a","0,0,0","","point","0,65.00000000000001,0"
"62","red","255,31,0","1","","","","9b00f509-57d4-4781-a85a-f778313520de","0,0,0","","point","0,60.00000000000001,0"
"63","red","255,31,0","1","","","","10bf539a-4cc1-4398-ba92-d2d8e420e5b9","0,0,0","","point","0,55.00000000000001,0"
"64","red","255,31,0","1","","","","2b9511eb-a1f9-44fc-a507-af180c11ed9e","0,0,0","","point","0,50.00000000000001,0"
"65","red","255,31,0","1","","","","52507eb6-c6df-4461-8869-edd64a4fd5db","0,0,0","","point","0,45.00000000000001,0"
"66","red","255,31,0","1","","","","bd561144-6301-426f-8875-b9c5e82dbe15","0,0,0","","point","0,40.00000000000001,0"
"67","red","255,31,0","1","","","","81ced14b-77d7-490e-a7a0-9fa0fadbb860","0,0,0","","point","0,35.00000000000001,0"
"68","red","255,31,0","1","","","","53b635b9-5019-4ae9-920d-e90a70708c64","0,0,0","","point","0,30,0"
"69","red","255,31,0","1","","","","9c941c21-8501-4109-a982-75e9957a02ba","0,0,0","","point","0,25,0"
"70","red","255,31,0","1","","","","b50b7625-ac43-43d0-9a3d-c2e6ea322743","0,0,0","","point","0,20,0"
"71","red","255,31,0","1","","","","a2e07b8d-a242-4c9a-922f-cc86787e7909","0,0,0","","point","0,15,0"
"72","red","255,31,0","1","","","","ce6c0579-4c4a-4563-9092-443f3202c455","0,0,0","","point","0,10,0"
"73","red","255,31,0","1","","","","2ebe3fe6-d7a4-40d6-82ba-e25b4b25a835","0,0,0","","point","0,5,0"
"74","red","255,31,0","1","","","","cf911d17-c8a0-458f-a792-30f64a7b82f0","0,0,0","","point","0,0,0"
