"Object Count","Layer Name","Layer Color R,G,B","Group Names","Object Name","Object ID","Object Color R,G,B","Object Material","Object Category","Object Type","Attribute Keys","Attribute Texts","Object Keys","Object Texts"
"1","red","255,0,9","Group03","","ecdeaca8-79f7-467d-8790-27c42c143b27","0,0,0","","point","24.275634765625,0,0.263214111328125"
"2","red","255,0,9","Group03","","ae2f03d3-e294-4eb7-a265-e45eade42d82","0,0,0","","point","18.00146484375,0,-3.874542236328125"
"3","red","255,0,9","Group03","","c786b36f-623a-4e6e-8fac-9eec16268565","0,0,0","","point","18.5599365234375,0,4.544586181640625"
"4","green","0,255,68","","","1074c1c2-f624-4dbf-ba48-4543a784aada","0,0,0","","point","20.0423583984375,0,-13.24200439453125"
"5","red","255,0,9","Group03","","f4f5833f-a9c2-4fd8-9757-826cc6a0adfe","0,0,0","","point","12.83203125,0,-16.82467651367188"
"6","red","255,0,9","Group03","","9267db3b-1763-49b6-9f47-68eb19babfd4","0,0,0","","point","15.509521484375,0,-23.10626220703125"
"7","green","0,255,68","","","b1c85f2a-4dba-4cad-992c-466d454e6049","0,0,0","","point","21.78369140625,0,-21.83212280273438"
"8","green","0,255,68","","","7f6b8f8b-301b-4538-8d94-5362b30d0bc5","0,0,0","","point","22.5181884765625,0,-28.76373291015625"
"9","green","0,255,68","","","1a18fc79-3c8a-4d31-92d7-c949c1c1495b","0,0,0","","point","21.95556640625,0,12.36517333984375"
"10","green","0,255,68","","","8b43f719-e56a-4be6-a4a9-ea62e4f1c776","0,0,0","","point","21.1563720703125,0,-34.777587890625"
"11","red","255,0,9","Group02","","bb51465d-a80f-4ebd-9696-d52ffe590c71","0,0,0","","point","20.27099609375,0,25.71505737304688"
"12","green","0,255,68","","","ff83e30e-2364-41b0-97bd-a89edd0154b8","0,0,0","","point","11.146728515625,0,7.517333984375"
"13","green","0,255,68","","","9f7f1f88-c5e9-4777-b387-0fdae6d34412","0,0,0","","point","9.0528564453125,0,-2.667144775390625"
"14","green","0,255,68","","","70fe1b32-c033-4822-b79b-e37460507b16","0,0,0","","point","6.265869140625,0,-12.130615234375"
